task,category,priority,due_date
Attend meeting,Work,High,2025-08-07
Prepare lecture notes,Shopping,High,2025-05-29
Write doctor appointment,Work,High,2025-08-12
Schedule proposal,Personal,Medium,2025-08-07
Read assignment,Personal,Low,2025-07-08
Schedule budget,Fitness,Low,2025-08-04
Pay meeting,Personal,High,2025-07-24
Schedule lecture notes,Fitness,Low,2025-06-07
Buy report,Fitness,Medium,2025-07-04
Update resume,Health,Medium,2025-07-17
Review report,Study,High,2025-08-07
Attend presentation,Health,Low,2025-08-09
Prepare meeting,Work,High,2025-08-08
Read lecture notes,Study,Low,2025-07-07
Send doctor appointment,Finance,Medium,2025-08-13
Pay proposal,Shopping,High,2025-08-12
Clean resume,Personal,Medium,2025-06-05
Call email,Home,Medium,2025-06-11
Read resume,Shopping,Medium,2025-05-22
Clean exercise,Finance,Medium,2025-08-04
Submit lecture notes,Study,High,2025-06-18
Buy lecture notes,Personal,Low,2025-05-31
Pay resume,Personal,High,2025-06-29
Call exercise,Study,High,2025-06-12
Buy resume,Fitness,Low,2025-07-28
Organize invoice,Study,Low,2025-08-17
Update meeting,Study,High,2025-05-31
Write proposal,Personal,High,2025-06-05
Organize doctor appointment,Health,Low,2025-07-15
Write report,Shopping,Low,2025-07-09
Research car service,Health,High,2025-05-21
Submit car service,Home,Medium,2025-07-24
Research presentation,Shopping,Medium,2025-06-15
Clean report,Personal,Medium,2025-08-02
Fix lecture notes,Personal,Low,2025-06-04
Send lecture notes,Work,High,2025-07-16
Read exercise,Work,Medium,2025-08-17
Read proposal,Finance,Medium,2025-07-05
Prepare car service,Fitness,High,2025-06-20
Attend doctor appointment,Personal,High,2025-08-17
Update budget,Work,Medium,2025-08-14
Clean doctor appointment,Study,Low,2025-07-15
Prepare invoice,Fitness,Low,2025-07-04
Prepare meeting,Study,Medium,2025-06-05
Read assignment,Finance,High,2025-07-17
Write report,Shopping,High,2025-06-09
Organize car service,Home,Low,2025-07-08
Complete doctor appointment,Personal,Low,2025-06-25
Buy car service,Fitness,Low,2025-07-05
Research resume,Home,Low,2025-08-14
Review lecture notes,Finance,High,2025-06-10
Prepare report,Fitness,Medium,2025-08-13
Organize meeting,Personal,Low,2025-08-10
Complete exercise,Work,High,2025-08-11
Schedule exercise,Study,High,2025-07-06
Fix presentation,Health,High,2025-08-02
Update report,Work,High,2025-07-18
Buy presentation,Home,High,2025-07-25
Plan invoice,Study,Low,2025-05-22
Submit doctor appointment,Finance,High,2025-07-31
Organize presentation,Personal,Medium,2025-07-15
Review exam,Fitness,Low,2025-05-23
Complete report,Home,Low,2025-08-15
Schedule budget,Shopping,Low,2025-05-26
Clean report,Health,Medium,2025-07-25
Prepare presentation,Personal,High,2025-05-22
Submit email,Home,Medium,2025-06-12
Organize invoice,Fitness,Medium,2025-06-21
Submit presentation,Shopping,Medium,2025-05-27
Organize email,Study,Low,2025-07-18
Submit report,Finance,High,2025-08-14
Clean lecture notes,Fitness,Medium,2025-06-07
Clean meeting,Fitness,Low,2025-07-12
Pay lecture notes,Health,Medium,2025-06-15
Call car service,Study,High,2025-06-15
Schedule car service,Work,Medium,2025-07-23
Complete email,Shopping,High,2025-08-05
Call exam,Fitness,Low,2025-08-01
Clean exercise,Personal,Low,2025-05-25
Submit doctor appointment,Finance,Low,2025-08-13
Read meeting,Finance,Medium,2025-06-07
Organize car service,Study,High,2025-08-14
Write car service,Study,Low,2025-06-05
Buy resume,Shopping,High,2025-06-11
Organize exercise,Home,High,2025-07-21
Write email,Fitness,High,2025-06-15
Write assignment,Work,Low,2025-07-12
Submit lecture notes,Fitness,Low,2025-06-09
Send meeting,Work,High,2025-06-18
Pay resume,Study,Medium,2025-07-07
Send resume,Work,Low,2025-07-08
Organize meeting,Health,High,2025-06-03
Update report,Shopping,Medium,2025-05-22
Complete exam,Home,Medium,2025-07-16
Pay lecture notes,Shopping,High,2025-07-09
Read meeting,Shopping,Low,2025-07-01
Read proposal,Personal,High,2025-07-26
Review exercise,Finance,Medium,2025-08-04
Schedule doctor appointment,Finance,Medium,2025-08-05
Clean presentation,Fitness,Medium,2025-07-08
Write email,Finance,Low,2025-06-05
Pay proposal,Fitness,High,2025-07-28
Submit assignment,Home,Medium,2025-07-23
Pay car service,Finance,High,2025-06-02
Attend meeting,Home,High,2025-06-19
Plan car service,Health,Medium,2025-05-31
Research exam,Study,High,2025-06-28
Plan exam,Fitness,High,2025-08-03
Complete resume,Shopping,Medium,2025-05-23
Clean meeting,Study,High,2025-06-26
Prepare meeting,Finance,High,2025-06-25
Prepare presentation,Finance,Medium,2025-05-31
Research doctor appointment,Work,Low,2025-07-05
Read exam,Study,High,2025-08-07
Update invoice,Work,Low,2025-08-10
Read lecture notes,Home,High,2025-06-05
Fix lecture notes,Fitness,Medium,2025-07-05
Pay email,Fitness,High,2025-06-01
Fix resume,Personal,Medium,2025-07-29
Research email,Finance,High,2025-06-18
Fix exercise,Fitness,Medium,2025-07-20
Read meeting,Fitness,Medium,2025-07-19
Send presentation,Fitness,Low,2025-07-05
Review exercise,Finance,Low,2025-08-02
Fix budget,Home,Medium,2025-07-11
Fix meeting,Study,Low,2025-07-31
Prepare doctor appointment,Finance,Medium,2025-06-23
Write meeting,Study,Medium,2025-06-02
Organize resume,Home,Medium,2025-07-24
Submit report,Shopping,Low,2025-08-11
Research doctor appointment,Shopping,High,2025-05-26
Update email,Finance,High,2025-07-16
Call assignment,Personal,Low,2025-06-02
Review invoice,Fitness,High,2025-08-05
Update invoice,Home,High,2025-06-26
Pay report,Home,Low,2025-07-19
Prepare budget,Study,Low,2025-06-21
Call lecture notes,Study,Medium,2025-05-26
Organize lecture notes,Shopping,Low,2025-06-30
Submit proposal,Work,High,2025-06-13
Read report,Home,High,2025-07-31
Submit car service,Personal,High,2025-07-03
Send budget,Work,Medium,2025-07-30
Send assignment,Home,Medium,2025-07-15
Buy car service,Home,Low,2025-07-30
Fix invoice,Health,Low,2025-07-21
Send budget,Study,High,2025-07-12
Write budget,Personal,High,2025-08-15
Complete proposal,Home,Low,2025-05-28
Write email,Health,Medium,2025-07-16
Clean lecture notes,Finance,High,2025-07-31
Schedule email,Finance,High,2025-07-08
Review resume,Health,Low,2025-05-28
Read report,Study,High,2025-06-06
Plan budget,Shopping,Low,2025-06-02
Fix proposal,Study,Medium,2025-05-25
Call meeting,Health,High,2025-06-05
Write invoice,Finance,Medium,2025-05-22
Clean assignment,Work,Low,2025-06-21
Buy resume,Study,Low,2025-06-06
Buy car service,Fitness,High,2025-06-25
Pay invoice,Finance,Medium,2025-06-29
Clean lecture notes,Study,High,2025-05-24
Update report,Finance,Low,2025-07-02
Research exercise,Study,High,2025-07-16
Send email,Health,High,2025-08-06
Update exam,Personal,Low,2025-06-15
Complete car service,Fitness,Medium,2025-06-17
Read lecture notes,Shopping,High,2025-06-01
Complete assignment,Personal,High,2025-07-11
Send doctor appointment,Work,High,2025-06-25
Clean meeting,Fitness,Low,2025-08-13
Complete report,Work,Medium,2025-06-07
Plan report,Study,Medium,2025-06-15
Buy car service,Study,High,2025-05-25
Read report,Home,Low,2025-08-13
Submit meeting,Personal,Medium,2025-07-21
Submit assignment,Finance,Low,2025-08-15
Write exam,Work,Low,2025-06-29
Plan resume,Study,Medium,2025-07-03
Send car service,Study,Low,2025-06-10
Pay meeting,Shopping,Low,2025-06-17
Review doctor appointment,Fitness,High,2025-06-10
Pay exam,Finance,High,2025-06-01
Fix proposal,Health,Low,2025-07-29
Send budget,Work,Medium,2025-08-04
Send car service,Study,Low,2025-06-21
Plan car service,Home,High,2025-05-22
Review resume,Home,Medium,2025-05-23
Schedule car service,Shopping,Medium,2025-06-12
Complete car service,Fitness,Low,2025-07-23
Organize report,Home,Medium,2025-07-23
Review report,Finance,Low,2025-08-13
Submit proposal,Personal,High,2025-05-23
Review resume,Shopping,High,2025-07-22
Read presentation,Finance,Medium,2025-05-20
Research budget,Shopping,Low,2025-08-17
Fix email,Work,High,2025-08-05
Send assignment,Work,High,2025-08-16
Organize report,Home,High,2025-08-12
Complete lecture notes,Fitness,Low,2025-07-14
Write invoice,Health,High,2025-08-05
Fix budget,Study,Low,2025-06-02
Prepare presentation,Home,Medium,2025-07-28
Pay budget,Health,High,2025-06-19
Prepare resume,Personal,Low,2025-07-13
Pay exam,Shopping,Low,2025-07-16
Plan exam,Health,High,2025-06-09
Clean invoice,Finance,High,2025-08-13
Pay email,Shopping,Low,2025-06-05
Attend exercise,Personal,High,2025-07-27
Clean exercise,Fitness,High,2025-07-30
Buy meeting,Home,High,2025-07-22
Research meeting,Shopping,High,2025-06-30
Call car service,Personal,Medium,2025-07-19
Write budget,Health,High,2025-06-07
Update report,Study,Medium,2025-07-17
Plan meeting,Home,Low,2025-07-24
Plan budget,Personal,Low,2025-06-30
Review report,Study,High,2025-07-24
Buy presentation,Shopping,Medium,2025-06-22
Attend email,Health,Low,2025-07-07
Organize budget,Health,Low,2025-07-30
Fix exam,Finance,Low,2025-08-12
Attend exam,Finance,High,2025-05-24
Call resume,Health,High,2025-05-24
Clean doctor appointment,Work,Low,2025-05-22
Research doctor appointment,Fitness,Medium,2025-08-15
Prepare meeting,Finance,Low,2025-06-18
Attend exercise,Study,High,2025-06-11
Prepare presentation,Work,Low,2025-08-09
Fix exercise,Study,High,2025-06-25
Read proposal,Fitness,Low,2025-05-23
Fix exam,Work,High,2025-06-11
Plan invoice,Work,Low,2025-08-10
Clean lecture notes,Home,Medium,2025-08-07
Update presentation,Fitness,Medium,2025-07-12
Attend car service,Personal,Low,2025-05-30
Send doctor appointment,Fitness,Medium,2025-07-28
Call meeting,Fitness,Low,2025-06-16
Read meeting,Work,Medium,2025-05-22
Buy car service,Study,High,2025-06-24
Clean resume,Study,Medium,2025-08-08
Research presentation,Finance,Medium,2025-08-11
Buy presentation,Work,High,2025-07-05
Read exam,Home,Medium,2025-07-21
Send email,Home,Low,2025-07-15
Send invoice,Home,Low,2025-07-24
Attend lecture notes,Home,Medium,2025-08-09
Update car service,Home,High,2025-07-09
Write exam,Health,High,2025-06-19
Research presentation,Home,Medium,2025-05-24
Call presentation,Health,Medium,2025-07-20
Prepare exam,Study,Low,2025-08-09
Update email,Home,Medium,2025-07-25
Call resume,Study,Medium,2025-08-17
Read car service,Health,Low,2025-07-12
Read resume,Work,High,2025-05-21
Clean exercise,Home,Low,2025-06-19
Prepare resume,Personal,Medium,2025-06-15
Write budget,Finance,High,2025-05-24
Pay proposal,Work,Medium,2025-07-21
Read proposal,Work,High,2025-06-29
Call report,Home,Medium,2025-08-07
Complete lecture notes,Home,High,2025-08-15
Read lecture notes,Personal,Low,2025-06-01
Complete doctor appointment,Work,High,2025-08-11
Prepare invoice,Personal,Low,2025-06-23
Read exam,Health,High,2025-07-13
Fix assignment,Work,Low,2025-08-17
Plan proposal,Home,Low,2025-07-25
Send email,Study,High,2025-06-09
Schedule email,Shopping,Medium,2025-06-11
Plan budget,Work,High,2025-08-08
Clean doctor appointment,Health,Low,2025-07-21
Send proposal,Fitness,High,2025-08-08
Update lecture notes,Finance,Low,2025-06-29
Update invoice,Shopping,Low,2025-05-23
Buy report,Shopping,Medium,2025-08-06
Review email,Fitness,High,2025-06-28
Clean lecture notes,Fitness,Low,2025-06-06
Schedule meeting,Work,Medium,2025-07-01
Update budget,Study,Medium,2025-07-19
Fix budget,Fitness,Medium,2025-07-05
Pay lecture notes,Home,Low,2025-06-08
Organize exercise,Home,Low,2025-05-26
Clean report,Personal,Medium,2025-07-30
Research assignment,Work,High,2025-07-02
Write car service,Shopping,High,2025-06-15
Read resume,Study,Medium,2025-08-17
Update resume,Finance,Medium,2025-08-11
Pay assignment,Health,Medium,2025-07-26
Fix meeting,Study,Low,2025-06-18
Read proposal,Health,Low,2025-06-18
Attend doctor appointment,Fitness,High,2025-07-27
Pay meeting,Finance,High,2025-06-02
Buy car service,Health,Low,2025-07-14
Organize presentation,Study,High,2025-08-02
Plan assignment,Shopping,High,2025-07-12
Plan invoice,Finance,Low,2025-07-13
Organize presentation,Health,Low,2025-07-10
Send lecture notes,Shopping,Medium,2025-08-07
Review exam,Study,High,2025-06-17
Submit email,Work,Medium,2025-06-11
Organize exam,Health,High,2025-07-19
Write assignment,Health,High,2025-07-12
Submit lecture notes,Home,Low,2025-08-12
Review resume,Finance,Low,2025-06-24
Fix car service,Home,Low,2025-07-10
Attend email,Finance,Low,2025-06-03
Fix resume,Fitness,Low,2025-06-28
Review exam,Study,Medium,2025-06-15
Prepare exercise,Health,Low,2025-07-25
Submit exercise,Fitness,Medium,2025-06-12
Send proposal,Finance,Low,2025-06-19
Submit proposal,Work,Medium,2025-06-01
Update resume,Home,Low,2025-08-14
Buy lecture notes,Health,High,2025-06-03
Research email,Work,Low,2025-07-31
Fix doctor appointment,Work,Medium,2025-08-16
Send report,Personal,High,2025-06-24
Complete exam,Shopping,Medium,2025-07-15
Write car service,Study,Low,2025-05-31
Update presentation,Finance,High,2025-08-13
Plan budget,Study,Medium,2025-06-02
Read exercise,Work,High,2025-05-23
Write car service,Health,Low,2025-06-20
Organize exam,Shopping,High,2025-07-28
Buy proposal,Study,Low,2025-06-30
Submit exercise,Shopping,High,2025-08-05
Send resume,Personal,Medium,2025-07-22
Read proposal,Home,High,2025-07-20
Call car service,Shopping,High,2025-06-25
Complete invoice,Work,High,2025-07-21
Read assignment,Finance,Medium,2025-06-18
Submit exercise,Fitness,High,2025-06-26
Buy lecture notes,Study,Medium,2025-07-22
Submit invoice,Work,Low,2025-08-09
Clean car service,Personal,Low,2025-07-18
Call budget,Home,Medium,2025-07-22
Plan doctor appointment,Personal,Low,2025-05-23
Call doctor appointment,Personal,Low,2025-05-31
Submit exercise,Work,Low,2025-07-22
Clean exercise,Finance,High,2025-08-17
Submit resume,Health,Low,2025-07-26
Write email,Health,Low,2025-07-12
Review meeting,Study,Low,2025-08-04
Review resume,Health,High,2025-07-17
Read assignment,Shopping,Medium,2025-07-17
Send report,Shopping,Medium,2025-08-17
Organize car service,Study,High,2025-06-19
Schedule resume,Work,High,2025-06-19
Prepare lecture notes,Finance,Low,2025-05-26
Read budget,Shopping,Low,2025-06-20
Schedule email,Shopping,High,2025-07-01
Organize budget,Home,Medium,2025-05-22
Submit invoice,Personal,High,2025-07-30
Attend meeting,Home,Medium,2025-07-12
Complete invoice,Shopping,Medium,2025-06-19
Review proposal,Finance,Low,2025-05-29
Clean car service,Finance,Low,2025-08-04
Submit invoice,Study,Low,2025-06-05
Buy car service,Personal,Low,2025-05-22
Prepare email,Shopping,High,2025-07-20
Prepare proposal,Personal,High,2025-07-01
Clean invoice,Personal,High,2025-08-13
Prepare doctor appointment,Study,High,2025-07-03
Write exercise,Shopping,Medium,2025-07-23
Prepare exercise,Health,High,2025-07-08
Schedule resume,Study,High,2025-07-10
Schedule doctor appointment,Work,High,2025-07-04
Prepare invoice,Shopping,Medium,2025-06-05
Buy invoice,Finance,Medium,2025-06-21
Schedule email,Work,Medium,2025-07-12
Research resume,Shopping,Low,2025-07-16
Review assignment,Home,Low,2025-05-25
Fix invoice,Home,Low,2025-05-31
Fix budget,Fitness,Low,2025-06-27
Organize car service,Home,Low,2025-06-23
Send meeting,Home,Low,2025-07-23
Fix lecture notes,Home,Medium,2025-06-23
Update email,Finance,Medium,2025-07-31
Clean car service,Home,Low,2025-08-06
Organize email,Finance,Medium,2025-07-02
Buy meeting,Home,Medium,2025-08-17
Prepare assignment,Fitness,Medium,2025-06-29
Prepare budget,Health,Medium,2025-08-11
Update meeting,Work,Medium,2025-08-16
Submit assignment,Work,Medium,2025-06-07
Pay exam,Personal,High,2025-07-25
Plan assignment,Work,Medium,2025-08-11
Buy report,Home,Low,2025-06-02
Attend exam,Study,Medium,2025-05-20
Plan meeting,Shopping,Low,2025-08-07
Update lecture notes,Home,Low,2025-08-08
Fix proposal,Health,Low,2025-08-01
Write lecture notes,Finance,High,2025-05-31
Prepare lecture notes,Health,High,2025-07-01
Prepare exercise,Work,Low,2025-05-29
Review proposal,Personal,High,2025-07-23
Clean exam,Home,Low,2025-06-22
Write meeting,Shopping,High,2025-06-20
Complete presentation,Home,Low,2025-06-12
Update email,Fitness,High,2025-06-30
Organize assignment,Study,High,2025-08-04
Buy assignment,Health,Low,2025-08-12
Fix presentation,Fitness,High,2025-06-04
Attend invoice,Personal,High,2025-07-06
Organize car service,Fitness,Low,2025-07-15
Send car service,Work,Medium,2025-08-17
Plan report,Fitness,High,2025-07-25
Buy assignment,Finance,High,2025-07-30
Write assignment,Personal,Low,2025-08-08
Complete assignment,Work,Low,2025-06-21
Read invoice,Shopping,High,2025-06-17
Research lecture notes,Work,Medium,2025-08-03
Complete resume,Fitness,High,2025-07-30
Organize lecture notes,Shopping,High,2025-05-25
Read doctor appointment,Shopping,High,2025-06-04
Call email,Health,Low,2025-07-26
Send doctor appointment,Personal,High,2025-07-18
Update exercise,Study,Low,2025-05-21
